Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2021-02-22,200.79908752441406,203.04495523373552,195.77717624676896,196.20129340132235,8337700
2021-02-23,204.4522705078125,206.18728870494562,199.09300351615087,199.91230745097306,10571700
2021-02-24,211.5080108642578,212.56830394477984,203.6618861921184,204.69326352570874,12039000
2021-02-25,206.03306579589844,212.49117532604816,204.90530762175393,211.37305083089558,11404300
2021-02-26,204.72216796875,207.44036569350575,203.13174314369135,206.3222411808584,11730000
2021-03-01,208.80909729003906,209.9368554767253,207.03551490603954,207.20902408517196,6982000
2021-03-02,207.98011779785156,210.0621247203582,207.0644183341137,209.12715790093688,6155200
2021-03-03,207.0933380126953,209.3488541345695,205.1751771165565,207.38249543249555,6484600
2021-03-04,203.8643035888672,209.1850214461382,201.13647213523512,208.17292621723612,10658900
2021-03-05,207.6331329345703,208.29822446331107,202.061807394899,206.01377772877896,7582000
2021-03-08,212.31765747070312,217.9660961061687,208.0186691408142,209.1464271907401,14750400
2021-03-09,212.40444946289062,216.8769331856018,212.2405886560994,214.04307223871126,9228600
2021-03-10,215.11300659179688,216.0961861750106,211.47910884314402,212.75146062235106,7822900
2021-03-11,217.9853973388672,219.99030575295086,215.72988088848842,216.42388821289842,10053400
2021-03-12,216.25999450683594,218.3612835191682,215.3539287096265,217.14677824021604,8172400
2021-03-15,215.20938110351562,218.89146160017847,213.73461922739813,216.13471439038165,9306100
2021-03-16,216.58773803710938,217.435972436836,214.27439021155442,215.63348904532367,8949300
2021-03-17,214.9684295654297,218.07218076421304,213.75390927413508,216.92514035928323,8675600
2021-03-18,212.69358825683594,214.4864378780177,211.65257737602983,213.43577861085674,9321800
2021-03-19,199.43035888671875,212.2212810353643,199.41109152911616,211.20918586077974,32209700
2021-03-22,200.49066162109375,204.6257750455496,198.78455908427713,199.09301331579738,11371600
2021-03-23,200.63525390625,202.37992069384438,200.00872642951362,201.50277046008682,8820700
2021-03-24,200.55812072753906,203.5172778266765,200.42316098429652,201.21356383977326,10101600
2021-03-25,200.46173095703125,201.28104957911444,198.35079342937055,200.172558813478,8390800
2021-03-26,205.82101440429688,205.9848752003406,200.2014906947181,200.73163721598164,7399900
2021-03-29,206.76564025878906,207.51747910607995,203.49802843543773,204.780013830923,7792300
2021-03-30,204.24986267089844,206.41863192170842,203.77756233600525,205.31978942294768,5498000
2021-03-31,204.0859832763672,206.3800636925232,203.91248881190486,204.87638616889055,13180000
2021-04-01,209.03076171875,209.87899601946378,204.63539253851494,206.06195637415675,6138400
2021-04-05,211.13206481933594,212.54899507192485,209.46452655564173,210.70796234852065,10440500
2021-04-06,210.75619506835938,211.4791182364986,207.5656965062371,209.7633817607476,7828100
2021-04-07,211.35379028320312,213.05987811788177,210.74653020528615,211.20919684622382,5614300
2021-04-08,212.7321319580078,214.77560424296826,210.235641471639,212.0284910446097,11042000
2021-04-09,214.4864044189453,214.56351795822442,211.58506449669582,213.02127658844972,5724900
2021-04-12,213.47434997558594,213.89846716820412,211.30558091071194,212.2887603383353,6315200
2021-04-13,213.04061889648438,213.61894854276923,212.26949799353,213.02133682923585,4764000
2021-04-14,213.9659423828125,215.04551748050957,212.12490951263314,213.0213270417464,4972600
2021-04-15,218.1106719970703,219.41193918827767,215.7780423801895,215.80695812151365,8698100
2021-04-16,218.23605346679688,219.57587050761475,217.60951121835512,218.96861032888606,6829400
2021-04-19,217.63836669921875,219.36375111694514,216.95400784697418,217.5998172783777,6541600
2021-04-20,215.21900939941406,217.24319981415022,213.8117274377005,216.664855493395,5799100
2021-04-21,219.2384796142578,219.6433147922565,214.82382737621253,215.24794462208976,9490600
2021-04-22,219.35414123535156,222.5928224219515,218.69868334670113,219.09388481574717,7303000
2021-04-23,221.69638061523438,223.45068077381052,219.48906225363075,220.35656394678895,5345200
2021-04-26,222.02410888671875,224.53988152247516,221.23372071915907,222.43859238938904,5650000
2021-04-27,221.6096649169922,222.81453672219365,220.72288103331286,222.68922534792222,6642100
2021-04-28,225.02186584472656,227.74006382325206,222.34223200218625,222.61212212244868,10111400
2021-04-29,228.3087615966797,228.92565540608925,224.73269541338271,226.73760397094085,7411400
2021-04-30,225.1278839111328,227.41231613920854,223.90373004315077,226.8243528199351,10260200
2021-05-03,224.21218872070312,227.22919247651947,223.0362326430709,225.60020341613182,8174400
2021-05-04,223.65313720703125,224.00014089761075,221.91811875413376,223.23866833912425,5884500
2021-05-05,220.93495178222656,225.40743558046344,220.40480521723873,225.40743558046344,6523200
2021-05-06,222.96876525878906,223.21937330101528,220.4047945111438,221.33977621454895,6124100
2021-05-07,223.7398681640625,224.80016122695005,222.38078395715272,223.95192677664,4528700
2021-05-10,217.81192016601562,223.6242209387832,217.03116554100336,223.2386678203281,9627400
2021-05-11,217.33958435058594,218.2456502711771,214.02377489987234,215.6624122666814,7633300
2021-05-12,212.66470336914062,216.87693060366792,212.3562491191528,215.55639577718952,7721300
2021-05-13,215.9756622314453,217.0953961075382,213.22455853761235,213.82303825839222,6650100
2021-05-14,219.0645751953125,219.61478700607643,217.11467049328175,217.98344691502683,4777200
2021-05-17,218.58197021484375,219.27698559941172,217.50084171852518,218.3309834358619,5534200
2021-05-18,217.74215698242188,221.22686670269226,217.60700119676773,220.4642881836565,6900000
2021-05-19,216.79615783691406,217.04714460883943,214.0933219428368,215.02966167824147,9311900
2021-05-20,218.58197021484375,219.7017188599,217.42361615032087,217.61667270619617,7478600
2021-05-21,218.90052795410156,221.35237723248457,218.68816131629615,219.00671127300427,5603900
2021-05-24,221.36199951171875,222.12457795160145,219.73064460302794,220.0395321015847,4040100
2021-05-25,221.07244873046875,222.20184509495044,220.4932643095322,221.9219005574315,4689100
2021-05-26,219.19012451171875,221.39100177512185,218.52406683713878,220.13611199844803,4295600
2021-05-27,218.9873809814453,220.49324265284966,218.5143799264959,219.8561427982493,5969600
2021-05-28,219.41212463378906,221.4681982923032,219.26732117126747,219.69205442783067,5779700
2021-06-01,218.76539611816406,222.09566983624003,218.4275360721434,221.47787997181226,5091500
2021-06-02,221.6902313232422,225.02050481154868,220.84076479478514,221.26549805901368,9081100
2021-06-03,220.19398498535156,222.39486182385846,219.8657874126005,221.05309906065233,6382400
2021-06-04,222.153564453125,222.69412869252963,220.79249145294992,221.3909859145229,5085700
2021-06-07,223.29263305664062,226.53601863690548,222.0956588096823,224.76953710810818,5421300
2021-06-08,223.99725341796875,224.76949424521743,222.172842012344,224.09377431558192,4170600
